DATA,LOJA,BANDEIRA,MODALIDADE,MODULO,VALOR\_BRUTO,TAXA\_PERC,TARIFA\_ADQ,DATA\_PREVISTA,LIQUIDO\_PREVISTO
14/01/2026,Matriz,Mastercard,Crédito,Online,"R$ 506,79","2,00%","R$ 2,76",12/02/2026,"R$ 493,89"
01/02/2026,Filial 1,PIX,PIX,TEF,"R$ 893,97","0,30%","R$ 6,02",01/01/2026,"R$ 885,27"
30/01/2026,Matriz,PIX,Voucher,Online,"R$ 80,70","7,00%","R$ 0,82",26/02/2026,"R$ 74,23"
26/02/2026,Filial 1,Mastercard,Voucher,Online,"R$ 290,16","7,00%","R$ 8,97",27/01/2026,"R$ 260,88"
23/01/2026,Filial 1,Mastercard,Voucher,TEF,"R$ 541,17","7,00%","R$ 2,28",02/02/2026,"R$ 501,01"
08/02/2026,Matriz,Amex,Crédito,Online,"R$ 263,18","2,00%","R$ 13,76",25/01/2026,"R$ 244,16"
03/01/2026,Matriz,Elo,Voucher,POS,"R$ 544,37","7,00%","R$ 3,91",06/02/2026,"R$ 502,35"
23/01/2026,Matriz,Mastercard,PIX,Online,"R$ 592,08","0,30%","R$ 3,22",09/02/2026,"R$ 587,08"
24/01/2026,Matriz,Elo,Crédito,TEF,"R$ 654,99","2,00%","R$ 9,07",16/02/2026,"R$ 632,82"
10/02/2026,Matriz,Mastercard,Débito,TEF,"R$ 254,80","0,75%","R$ 0,59",05/01/2026,"R$ 252,30"
05/02/2026,Filial 1,Visa,Débito,TEF,"R$ 356,95","0,75%","R$ 2,16",15/02/2026,"R$ 352,11"
16/02/2026,Matriz,Amex,Voucher,TEF,"R$ 849,28","7,00%","R$ 5,61",11/02/2026,"R$ 784,22"
17/02/2026,Filial 1,Amex,Débito,POS,"R$ 201,59","0,75%","R$ 2,91",13/02/2026,"R$ 197,17"
04/01/2026,Matriz,Elo,Voucher,Online,"R$ 699,11","7,00%","R$ 10,41",22/01/2026,"R$ 639,76"
23/01/2026,Filial 1,PIX,Débito,Online,"R$ 484,54","0,75%","R$ 11,78",13/02/2026,"R$ 469,13"
01/01/2026,Filial 1,Visa,PIX,Online,"R$ 16,63","0,30%","R$ 4,62",23/02/2026,"R$ 11,96"
11/02/2026,Filial 1,Mastercard,PIX,TEF,"R$ 818,85","0,30%","R$ 10,41",14/02/2026,"R$ 805,98"
17/02/2026,Filial 1,Visa,Voucher,TEF,"R$ 416,69","7,00%","R$ 20,93",10/02/2026,"R$ 366,59"
29/01/2026,Matriz,Visa,Crédito,POS,"R$ 297,59","2,00%","R$ 10,44",20/02/2026,"R$ 281,20"
07/01/2026,Matriz,Mastercard,Voucher,POS,"R$ 628,31","7,00%","R$ 11,40",17/02/2026,"R$ 572,93"
24/01/2026,Filial 1,Amex,Débito,Online,"R$ 733,93","0,75%","R$ 10,22",22/02/2026,"R$ 718,21"
07/02/2026,Filial 1,Visa,PIX,TEF,"R$ 883,09","0,30%","R$ 5,08",13/01/2026,"R$ 875,36"
10/02/2026,Filial 1,Elo,Crédito,TEF,"R$ 526,86","2,00%","R$ 5,22",26/02/2026,"R$ 511,10"
15/02/2026,Filial 1,Elo,Voucher,POS,"R$ 574,72","7,00%","R$ 6,71",22/02/2026,"R$ 527,78"
05/02/2026,Matriz,Mastercard,Crédito,Online,"R$ 325,38","2,00%","R$ 5,33",18/02/2026,"R$ 313,54"
05/01/2026,Filial 1,Amex,Crédito,TEF,"R$ 95,03","2,00%","R$ 8,20",24/01/2026,"R$ 84,93"
19/02/2026,Filial 1,PIX,Voucher,Online,"R$ 731,16","7,00%","R$ 12,24",19/01/2026,"R$ 667,74"
29/01/2026,Filial 1,PIX,PIX,TEF,"R$ 683,32","0,30%","R$ 3,93",05/03/2026,"R$ 677,34"
26/02/2026,Matriz,Mastercard,Voucher,POS,"R$ 896,42","7,00%","R$ 6,12",15/02/2026,"R$ 827,55"
23/01/2026,Filial 1,PIX,PIX,Online,"R$ 514,58","0,30%","R$ 9,95",17/01/2026,"R$ 503,09"
17/01/2026,Matriz,Mastercard,Voucher,TEF,"R$ 821,86","7,00%","R$ 3,15",25/02/2026,"R$ 761,18"
09/01/2026,Matriz,PIX,Voucher,TEF,"R$ 985,41","7,00%","R$ 2,36",16/01/2026,"R$ 914,07"
26/01/2026,Filial 1,Visa,PIX,TEF,"R$ 282,17","0,30%","R$ 5,64",04/01/2026,"R$ 275,68"
04/01/2026,Filial 1,Visa,Voucher,Online,"R$ 212,88","7,00%","R$ 7,47",09/01/2026,"R$ 190,51"
10/02/2026,Filial 1,Elo,Crédito,TEF,"R$ 160,25","2,00%","R$ 9,00",09/02/2026,"R$ 148,05"
21/02/2026,Filial 1,Mastercard,Crédito,Online,"R$ 862,93","2,00%","R$ 10,13",28/01/2026,"R$ 835,54"
14/02/2026,Filial 1,PIX,PIX,POS,"R$ 775,11","0,30%","R$ 3,10",05/02/2026,"R$ 769,68"
01/02/2026,Filial 1,Mastercard,Crédito,Online,"R$ 721,34","2,00%","R$ 3,48",30/01/2026,"R$ 703,43"
09/02/2026,Filial 1,Visa,Débito,TEF,"R$ 23,51","0,75%","R$ 3,99",16/01/2026,"R$ 19,34"
30/01/2026,Filial 1,Mastercard,PIX,POS,"R$ 36,50","0,30%","R$ 5,15",26/02/2026,"R$ 31,24"
06/02/2026,Filial 1,Mastercard,Voucher,TEF,"R$ 377,38","7,00%","R$ 1,03",17/02/2026,"R$ 349,93"
24/02/2026,Filial 1,Amex,Débito,POS,"R$ 133,59","0,75%","R$ 9,18",03/03/2026,"R$ 123,41"
22/02/2026,Matriz,Visa,Débito,TEF,"R$ 381,71","0,75%","R$ 10,29",02/02/2026,"R$ 368,56"
21/02/2026,Filial 1,Visa,PIX,TEF,"R$ 748,40","0,30%","R$ 2,87",23/01/2026,"R$ 743,28"
26/01/2026,Filial 1,Elo,Crédito,POS,"R$ 926,30","2,00%","R$ 8,18",09/02/2026,"R$ 899,59"
09/01/2026,Filial 1,Elo,PIX,POS,"R$ 118,64","0,30%","R$ 11,77",01/02/2026,"R$ 106,51"
07/01/2026,Matriz,Mastercard,PIX,Online,"R$ 333,62","0,30%","R$ 15,12",03/01/2026,"R$ 317,50"
30/01/2026,Matriz,Visa,PIX,TEF,"R$ 871,81","0,30%","R$ 3,34",02/03/2026,"R$ 865,85"
12/01/2026,Filial 1,Amex,Débito,Online,"R$ 568,63","0,75%","R$ 4,25",04/02/2026,"R$ 560,12"
15/01/2026,Filial 1,Visa,PIX,POS,"R$ 131,60","0,30%","R$ 10,07",16/01/2026,"R$ 121,14"
23/02/2026,Filial 1,Amex,PIX,Online,"R$ 841,49","0,30%","R$ 5,65",02/03/2026,"R$ 833,32"
04/01/2026,Matriz,Amex,Débito,POS,"R$ 461,38","0,75%","R$ 5,09",07/02/2026,"R$ 452,83"
05/01/2026,Matriz,Visa,PIX,Online,"R$ 783,13","0,30%","R$ 1,78",30/01/2026,"R$ 779,00"
15/01/2026,Matriz,Elo,Débito,Online,"R$ 36,13","0,75%","R$ 8,48",05/02/2026,"R$ 27,38"
22/02/2026,Filial 1,Amex,PIX,POS,"R$ 265,68","0,30%","R$ 22,40",24/01/2026,"R$ 242,48"
17/01/2026,Matriz,Visa,Débito,TEF,"R$ 657,62","0,75%","R$ 13,60",09/02/2026,"R$ 639,09"
24/01/2026,Filial 1,Visa,Voucher,POS,"R$ 185,56","7,00%","R$ 7,23",07/02/2026,"R$ 165,34"
03/02/2026,Matriz,Elo,PIX,TEF,"R$ 429,45","0,30%","R$ 7,32",07/01/2026,"R$ 420,84"
31/01/2026,Matriz,PIX,Crédito,Online,"R$ 298,33","2,00%","R$ 12,63",10/02/2026,"R$ 279,73"
04/01/2026,Filial 1,Elo,Débito,TEF,"R$ 392,21","0,75%","R$ 10,24",16/02/2026,"R$ 379,03"
03/01/2026,Filial 1,PIX,Voucher,Online,"R$ 359,68","7,00%","R$ 7,74",06/01/2026,"R$ 326,76"
14/02/2026,Filial 1,Elo,Voucher,TEF,"R$ 948,91","7,00%","R$ 8,89",17/02/2026,"R$ 873,60"
27/02/2026,Filial 1,Amex,Débito,Online,"R$ 261,28","0,75%","R$ 5,40",23/02/2026,"R$ 253,92"
09/02/2026,Filial 1,Mastercard,Crédito,Online,"R$ 940,12","2,00%","R$ 3,56",08/01/2026,"R$ 917,76"
22/01/2026,Filial 1,Amex,Débito,TEF,"R$ 88,33","0,75%","R$ 7,44",23/02/2026,"R$ 80,23"
28/02/2026,Filial 1,Amex,Voucher,Online,"R$ 246,65","7,00%","R$ 19,83",26/01/2026,"R$ 209,55"
11/01/2026,Matriz,Amex,Crédito,Online,"R$ 857,85","2,00%","R$ 9,63",04/01/2026,"R$ 831,06"
03/01/2026,Filial 1,Mastercard,Voucher,Online,"R$ 138,47","7,00%","R$ 0,42",04/03/2026,"R$ 128,36"
14/01/2026,Matriz,Amex,Crédito,Online,"R$ 623,66","2,00%","R$ 5,06",17/01/2026,"R$ 606,13"
30/01/2026,Matriz,Visa,Voucher,Online,"R$ 117,53","7,00%","R$ 9,58",13/02/2026,"R$ 99,72"
14/01/2026,Matriz,Elo,Débito,POS,"R$ 999,17","0,75%","R$ 8,39",10/01/2026,"R$ 983,29"
21/01/2026,Filial 1,PIX,Débito,Online,"R$ 992,26","0,75%","R$ 6,78",14/01/2026,"R$ 978,04"
24/01/2026,Filial 1,Mastercard,Débito,POS,"R$ 901,55","0,75%","R$ 8,52",14/02/2026,"R$ 886,27"
28/01/2026,Filial 1,PIX,Voucher,Online,"R$ 553,73","7,00%","R$ 1,71",08/02/2026,"R$ 513,26"
09/02/2026,Matriz,Elo,Voucher,TEF,"R$ 776,15","7,00%","R$ 12,70",23/01/2026,"R$ 709,12"
23/01/2026,Matriz,PIX,PIX,Online,"R$ 161,68","0,30%","R$ 5,97",22/01/2026,"R$ 155,22"
07/02/2026,Filial 1,Elo,PIX,POS,"R$ 136,00","0,30%","R$ 2,96",27/01/2026,"R$ 132,63"
22/01/2026,Matriz,Visa,PIX,Online,"R$ 688,67","0,30%","R$ 12,66",13/02/2026,"R$ 673,94"
21/01/2026,Filial 1,Visa,Crédito,TEF,"R$ 224,96","2,00%","R$ 7,19",09/01/2026,"R$ 213,27"
20/02/2026,Matriz,Mastercard,Crédito,POS,"R$ 56,33","2,00%","R$ 13,57",02/03/2026,"R$ 41,63"
13/01/2026,Filial 1,Mastercard,Voucher,Online,"R$ 491,08","7,00%","R$ 2,46",08/01/2026,"R$ 454,24"
01/02/2026,Matriz,Visa,Voucher,Online,"R$ 611,86","7,00%","R$ 9,92",01/02/2026,"R$ 559,11"
09/02/2026,Filial 1,Amex,Débito,TEF,"R$ 299,46","0,75%","R$ 14,82",18/02/2026,"R$ 282,39"
19/02/2026,Matriz,PIX,Voucher,POS,"R$ 16,90","7,00%","R$ 11,40",19/01/2026,"R$ 4,32"
01/02/2026,Matriz,Visa,Débito,TEF,"R$ 653,65","0,75%","R$ 17,87",01/02/2026,"R$ 630,88"
13/01/2026,Matriz,Elo,Voucher,TEF,"R$ 185,87","7,00%","R$ 10,93",14/02/2026,"R$ 161,93"
26/02/2026,Filial 1,Elo,Débito,TEF,"R$ 116,89","0,75%","R$ 6,95",01/01/2026,"R$ 109,06"
28/02/2026,Matriz,Amex,Crédito,TEF,"R$ 976,28","2,00%","R$ 14,73",25/02/2026,"R$ 942,02"
08/01/2026,Filial 1,Elo,Débito,Online,"R$ 38,54","0,75%","R$ 2,33",01/03/2026,"R$ 35,92"
21/02/2026,Matriz,Elo,PIX,POS,"R$ 406,52","0,30%","R$ 10,77",12/02/2026,"R$ 394,53"
06/02/2026,Filial 1,Amex,Voucher,Online,"R$ 504,12","7,00%","R$ 7,10",06/01/2026,"R$ 461,73"
03/02/2026,Filial 1,Elo,Voucher,POS,"R$ 127,86","7,00%","R$ 5,86",22/01/2026,"R$ 113,05"
09/02/2026,Filial 1,Mastercard,Débito,TEF,"R$ 978,56","0,75%","R$ 1,64",20/01/2026,"R$ 969,58"
26/02/2026,Matriz,Visa,Crédito,TEF,"R$ 817,43","2,00%","R$ 1,14",02/03/2026,"R$ 799,94"
21/02/2026,Matriz,Mastercard,Voucher,Online,"R$ 820,30","7,00%","R$ 1,75",09/02/2026,"R$ 761,13"
21/02/2026,Filial 1,Visa,Débito,POS,"R$ 40,72","0,75%","R$ 6,62",08/01/2026,"R$ 33,79"
10/01/2026,Filial 1,Amex,Débito,TEF,"R$ 595,34","0,75%","R$ 17,20",16/02/2026,"R$ 573,67"
07/02/2026,Filial 1,Elo,Voucher,TEF,"R$ 540,64","7,00%","R$ 22,34",08/01/2026,"R$ 480,46"
17/01/2026,Matriz,Amex,PIX,Online,"R$ 98,23","0,30%","R$ 11,22",09/02/2026,"R$ 86,72"
04/02/2026,Filial 1,Amex,PIX,TEF,"R$ 467,79","0,30%","R$ 5,40",20/02/2026,"R$ 460,99"
08/01/2026,Filial 1,Mastercard,PIX,POS,"R$ 164,39","0,30%","R$ 5,08",01/01/2026,"R$ 158,82"
27/01/2026,Filial 1,Visa,Crédito,Online,"R$ 125,65","2,00%","R$ 5,12",19/02/2026,"R$ 118,02"
13/01/2026,Filial 1,Visa,Débito,POS,"R$ 581,29","0,75%","R$ 0,73",05/01/2026,"R$ 576,20"
07/02/2026,Matriz,Elo,PIX,TEF,"R$ 575,85","0,30%","R$ 1,66",20/01/2026,"R$ 572,46"
26/01/2026,Filial 1,Visa,PIX,POS,"R$ 956,32","0,30%","R$ 20,25",09/02/2026,"R$ 933,20"
03/02/2026,Filial 1,Elo,Débito,TEF,"R$ 310,48","0,75%","R$ 12,31",15/01/2026,"R$ 295,84"
21/01/2026,Filial 1,Mastercard,Crédito,TEF,"R$ 344,32","2,00%","R$ 6,62",30/01/2026,"R$ 330,81"
18/02/2026,Matriz,Mastercard,Voucher,Online,"R$ 643,22","7,00%","R$ 5,97",23/02/2026,"R$ 592,22"
24/02/2026,Matriz,Amex,Crédito,TEF,"R$ 748,95","2,00%","R$ 2,15",25/01/2026,"R$ 731,82"
29/01/2026,Matriz,Mastercard,Débito,POS,"R$ 939,53","0,75%","R$ 2,93",10/01/2026,"R$ 929,55"
24/02/2026,Matriz,PIX,Crédito,POS,"R$ 387,53","2,00%","R$ 19,40",28/02/2026,"R$ 360,38"
11/02/2026,Filial 1,Amex,Voucher,TEF,"R$ 954,05","7,00%","R$ 10,07",16/02/2026,"R$ 877,20"
27/01/2026,Filial 1,Visa,Débito,TEF,"R$ 20,14","0,75%","R$ 1,99",24/02/2026,"R$ 18,00"
23/01/2026,Matriz,PIX,Crédito,Online,"R$ 874,94","2,00%","R$ 3,53",20/01/2026,"R$ 853,91"
23/01/2026,Filial 1,Visa,Voucher,Online,"R$ 789,49","7,00%","R$ 3,61",05/01/2026,"R$ 730,62"
11/02/2026,Filial 1,Mastercard,Crédito,Online,"R$ 186,09","2,00%","R$ 5,52",24/02/2026,"R$ 176,85"
21/01/2026,Filial 1,PIX,Voucher,TEF,"R$ 948,61","7,00%","R$ 9,23",03/02/2026,"R$ 872,98"
23/01/2026,Filial 1,Mastercard,Crédito,TEF,"R$ 640,14","2,00%","R$ 11,78",04/03/2026,"R$ 615,56"
01/01/2026,Matriz,PIX,Voucher,TEF,"R$ 381,29","7,00%","R$ 10,32",16/02/2026,"R$ 344,28"
07/01/2026,Filial 1,Mastercard,Crédito,Online,"R$ 992,47","2,00%","R$ 5,83",09/02/2026,"R$ 966,79"
26/02/2026,Filial 1,Elo,PIX,Online,"R$ 121,15","0,30%","R$ 11,59",03/01/2026,"R$ 109,20"
22/02/2026,Matriz,Mastercard,PIX,TEF,"R$ 876,34","0,30%","R$ 10,53",17/01/2026,"R$ 863,18"
21/02/2026,Filial 1,Mastercard,PIX,Online,"R$ 417,14","0,30%","R$ 8,75",06/02/2026,"R$ 407,14"
08/02/2026,Filial 1,PIX,Voucher,POS,"R$ 86,46","7,00%","R$ 18,26",24/01/2026,"R$ 62,15"
12/02/2026,Filial 1,Visa,PIX,POS,"R$ 638,08","0,30%","R$ 1,24",21/01/2026,"R$ 634,93"
25/02/2026,Filial 1,Visa,PIX,TEF,"R$ 185,82","0,30%","R$ 7,63",07/01/2026,"R$ 177,63"
21/01/2026,Filial 1,Visa,Crédito,POS,"R$ 307,75","2,00%","R$ 2,13",27/02/2026,"R$ 299,47"
02/01/2026,Filial 1,Visa,Voucher,POS,"R$ 672,51","7,00%","R$ 22,71",21/01/2026,"R$ 602,72"
12/02/2026,Matriz,Amex,Crédito,TEF,"R$ 144,76","2,00%","R$ 3,80",22/01/2026,"R$ 138,06"
22/02/2026,Matriz,Elo,Voucher,Online,"R$ 828,49","7,00%","R$ 3,73",28/02/2026,"R$ 766,77"
05/01/2026,Filial 1,PIX,Crédito,TEF,"R$ 272,00","2,00%","R$ 6,51",07/01/2026,"R$ 260,05"
03/02/2026,Matriz,Mastercard,Débito,TEF,"R$ 906,01","0,75%","R$ 7,43",04/01/2026,"R$ 891,78"
09/01/2026,Filial 1,Elo,Débito,Online,"R$ 646,57","0,75%","R$ 10,98",27/02/2026,"R$ 630,74"
10/02/2026,Matriz,Amex,Voucher,TEF,"R$ 331,43","7,00%","R$ 3,27",11/02/2026,"R$ 304,96"
08/01/2026,Filial 1,PIX,Débito,TEF,"R$ 668,98","0,75%","R$ 8,23",01/03/2026,"R$ 655,73"
18/02/2026,Matriz,PIX,Crédito,TEF,"R$ 999,14","2,00%","R$ 11,86",19/02/2026,"R$ 967,30"
13/01/2026,Filial 1,Visa,Débito,Online,"R$ 156,40","0,75%","R$ 10,19",01/01/2026,"R$ 145,04"
10/02/2026,Matriz,Amex,Débito,Online,"R$ 165,13","0,75%","R$ 3,08",05/02/2026,"R$ 160,81"
28/02/2026,Filial 1,Elo,Débito,POS,"R$ 887,37","0,75%","R$ 3,75",23/01/2026,"R$ 876,96"
05/02/2026,Filial 1,Elo,Débito,Online,"R$ 979,80","0,75%","R$ 20,15",22/02/2026,"R$ 952,30"
09/01/2026,Matriz,Visa,PIX,TEF,"R$ 888,67","0,30%","R$ 9,38",09/02/2026,"R$ 876,62"
07/02/2026,Matriz,PIX,Voucher,Online,"R$ 243,53","7,00%","R$ 7,75",05/03/2026,"R$ 218,73"
26/02/2026,Filial 1,Visa,Débito,POS,"R$ 511,18","0,75%","R$ 15,20",01/02/2026,"R$ 492,15"
10/01/2026,Filial 1,Elo,PIX,Online,"R$ 236,38","0,30%","R$ 8,83",28/01/2026,"R$ 226,84"
02/01/2026,Matriz,Mastercard,Crédito,TEF,"R$ 911,06","2,00%","R$ 9,05",15/01/2026,"R$ 883,79"
20/02/2026,Matriz,Mastercard,Voucher,TEF,"R$ 789,39","7,00%","R$ 10,55",10/01/2026,"R$ 723,58"
10/02/2026,Filial 1,Mastercard,Débito,Online,"R$ 961,39","0,75%","R$ 3,31",23/02/2026,"R$ 950,87"
25/02/2026,Filial 1,PIX,Voucher,TEF,"R$ 441,35","7,00%","R$ 5,78",05/03/2026,"R$ 404,68"
01/02/2026,Matriz,PIX,Débito,Online,"R$ 126,20","0,75%","R$ 8,77",09/02/2026,"R$ 116,48"
05/01/2026,Filial 1,Elo,Débito,POS,"R$ 101,20","0,75%","R$ 9,55",14/02/2026,"R$ 90,89"
02/02/2026,Matriz,Visa,PIX,Online,"R$ 890,90","0,30%","R$ 8,92",04/03/2026,"R$ 879,31"
22/02/2026,Filial 1,PIX,Débito,Online,"R$ 782,69","0,75%","R$ 11,30",10/02/2026,"R$ 765,52"
20/02/2026,Matriz,PIX,Débito,TEF,"R$ 668,08","0,75%","R$ 7,55",24/02/2026,"R$ 655,52"
07/02/2026,Filial 1,Mastercard,Voucher,TEF,"R$ 522,43","7,00%","R$ 1,04",07/02/2026,"R$ 484,82"
14/02/2026,Filial 1,PIX,Crédito,Online,"R$ 16,21","2,00%","R$ 1,94",18/02/2026,"R$ 13,95"
10/02/2026,Matriz,Mastercard,Crédito,Online,"R$ 223,63","2,00%","R$ 1,44",20/02/2026,"R$ 217,72"
22/02/2026,Matriz,Amex,PIX,Online,"R$ 404,22","0,30%","R$ 8,14",05/03/2026,"R$ 394,87"
13/01/2026,Filial 1,Mastercard,Crédito,TEF,"R$ 609,04","2,00%","R$ 7,96",04/03/2026,"R$ 588,90"
17/01/2026,Filial 1,PIX,Débito,TEF,"R$ 542,70","0,75%","R$ 0,68",07/02/2026,"R$ 537,95"
23/02/2026,Filial 1,PIX,Débito,TEF,"R$ 617,43","0,75%","R$ 11,42",13/01/2026,"R$ 601,38"
17/02/2026,Filial 1,Amex,PIX,TEF,"R$ 893,71","0,30%","R$ 10,85",16/02/2026,"R$ 880,18"
04/01/2026,Filial 1,Mastercard,Voucher,TEF,"R$ 687,04","7,00%","R$ 2,52",05/03/2026,"R$ 636,43"
09/02/2026,Matriz,PIX,Débito,POS,"R$ 101,95","0,75%","R$ 5,38",04/02/2026,"R$ 95,81"
09/02/2026,Matriz,Visa,Débito,POS,"R$ 285,85","0,75%","R$ 11,87",20/02/2026,"R$ 271,84"
15/01/2026,Matriz,PIX,Débito,Online,"R$ 642,30","0,75%","R$ 2,83",17/02/2026,"R$ 634,65"
18/01/2026,Matriz,Elo,Voucher,TEF,"R$ 517,00","7,00%","R$ 0,33",21/02/2026,"R$ 480,48"
27/02/2026,Matriz,Mastercard,Voucher,TEF,"R$ 218,99","7,00%","R$ 1,59",28/02/2026,"R$ 202,07"
06/01/2026,Matriz,Mastercard,PIX,POS,"R$ 917,46","0,30%","R$ 18,45",02/02/2026,"R$ 896,26"
14/02/2026,Matriz,Mastercard,Crédito,POS,"R$ 10,79","2,00%","R$ 2,34",08/02/2026,"R$ 8,23"
31/01/2026,Matriz,Visa,PIX,POS,"R$ 829,21","0,30%","R$ 1,63",15/02/2026,"R$ 825,09"
22/01/2026,Matriz,Elo,PIX,POS,"R$ 864,18","0,30%","R$ 6,30",06/01/2026,"R$ 855,29"
25/02/2026,Matriz,PIX,Crédito,TEF,"R$ 573,78","2,00%","R$ 0,81",16/01/2026,"R$ 561,49"
09/01/2026,Filial 1,PIX,Voucher,Online,"R$ 739,62","7,00%","R$ 23,17",29/01/2026,"R$ 664,68"
02/01/2026,Filial 1,Mastercard,PIX,TEF,"R$ 418,92","0,30%","R$ 16,69",31/01/2026,"R$ 400,97"
04/01/2026,Filial 1,PIX,Voucher,Online,"R$ 739,52","7,00%","R$ 14,34",05/02/2026,"R$ 673,41"
02/01/2026,Matriz,Visa,Crédito,Online,"R$ 309,90","2,00%","R$ 7,71",02/02/2026,"R$ 295,99"
10/01/2026,Filial 1,Visa,PIX,TEF,"R$ 143,13","0,30%","R$ 6,21",22/02/2026,"R$ 136,49"
10/02/2026,Filial 1,Amex,PIX,TEF,"R$ 358,40","0,30%","R$ 15,30",16/02/2026,"R$ 342,02"
25/02/2026,Matriz,PIX,Crédito,POS,"R$ 361,89","2,00%","R$ 5,14",14/02/2026,"R$ 349,51"
20/01/2026,Filial 1,Amex,Crédito,POS,"R$ 548,47","2,00%","R$ 1,41",14/01/2026,"R$ 536,09"
08/01/2026,Filial 1,Elo,PIX,TEF,"R$ 179,65","0,30%","R$ 11,46",12/01/2026,"R$ 167,65"
07/01/2026,Filial 1,Elo,Voucher,Online,"R$ 559,10","7,00%","R$ 2,69",20/01/2026,"R$ 517,27"
06/02/2026,Matriz,Elo,Débito,TEF,"R$ 826,21","0,75%","R$ 1,00",31/01/2026,"R$ 819,01"
08/01/2026,Filial 1,Visa,Débito,Online,"R$ 925,03","0,75%","R$ 10,52",19/01/2026,"R$ 907,57"
02/01/2026,Filial 1,PIX,Crédito,POS,"R$ 569,01","2,00%","R$ 3,96",28/01/2026,"R$ 553,67"
18/02/2026,Matriz,Amex,Crédito,TEF,"R$ 404,73","2,00%","R$ 7,98",31/01/2026,"R$ 388,66"
01/01/2026,Matriz,Visa,Crédito,POS,"R$ 409,85","2,00%","R$ 4,60",05/03/2026,"R$ 397,05"
22/01/2026,Filial 1,Elo,Crédito,TEF,"R$ 296,07","2,00%","R$ 10,19",25/02/2026,"R$ 279,96"
01/01/2026,Matriz,Amex,Crédito,POS,"R$ 118,16","2,00%","R$ 2,41",04/01/2026,"R$ 113,39"
