DATA;LOJA;BANDEIRA;MODALIDADE;MODULO;VALOR_BRUTO;TAXA_PERCENTUAL;VALOR_TAXA;DATA_PREVISTA;VALOR_LIQUIDO
11/02/2026;Filial 1;Mastercard;PIX;TEF;818,85;0,30%;10,41;14/02/2026;805,98
17/02/2026;Filial 1;Visa;Voucher;TEF;416,69;7,00%;20,93;10/02/2026;366,59
29/01/2026;Matriz;Visa;Crédito;POS;297,59;2,00%;10,44;20/02/2026;281,20
07/01/2026;Matriz;Mastercard;Voucher;POS;628,31;7,00%;11,40;17/02/2026;572,93
24/01/2026;Filial 1;Amex;Débito;Online;733,93;0,75%;10,22;22/02/2026;718,21
07/02/2026;Filial 1;Visa;PIX;TEF;883,09;0,30%;5,08;13/01/2026;875,36
10/02/2026;Filial 1;Elo;Crédito;TEF;526,86;2,00%;5,22;26/02/2026;511,10
15/02/2026;Filial 1;Elo;Voucher;POS;574,72;7,00%;6,71;22/02/2026;527,78
05/02/2026;Matriz;Mastercard;Crédito;Online;325,38;2,00%;5,33;18/02/2026;313,54
05/01/2026;Filial 1;Amex;Crédito;TEF;95,03;2,00%;8,20;24/01/2026;84,93
19/02/2026;Filial 1;PIX;Voucher;Online;731,16;7,00%;12,24;19/01/2026;667,74
29/01/2026;Filial 1;PIX;PIX;TEF;683,32;0,30%;3,93;05/03/2026;677,34
26/02/2026;Matriz;Mastercard;Voucher;POS;896,42;7,00%;6,12;15/02/2026;827,55
23/01/2026;Filial 1;PIX;PIX;Online;514,58;0,30%;9,95;17/01/2026;503,09
17/01/2026;Matriz;Mastercard;Voucher;TEF;821,86;7,00%;3,15;25/02/2026;761,18
09/01/2026;Matriz;PIX;Voucher;TEF;985,41;7,00%;2,36;16/01/2026;914,07
26/01/2026;Filial 1;Visa;PIX;TEF;282,17;0,30%;5,64;04/01/2026;275,68
04/01/2026;Filial 1;Visa;Voucher;Online;212,88;7,00%;7,47;09/01/2026;190,51
10/02/2026;Filial 1;Elo;Crédito;TEF;160,25;2,00%;9,00;09/02/2026;148,05
21/02/2026;Filial 1;Mastercard;Crédito;Online;862,93;2,00%;10,13;28/01/2026;835,54
14/02/2026;Filial 1;PIX;PIX;POS;775,11;0,30%;3,10;05/02/2026;769,68
01/02/2026;Filial 1;Mastercard;Crédito;Online;721,34;2,00%;3,48;30/01/2026;703,43
09/02/2026;Filial 1;Visa;Débito;TEF;23,51;0,75%;3,99;16/01/2026;19,34
30/01/2026;Filial 1;Mastercard;PIX;POS;36,50;0,30%;5,15;26/02/2026;31,24
06/02/2026;Filial 1;Mastercard;Voucher;TEF;377,38;7,00%;1,03;17/02/2026;349,93
24/02/2026;Filial 1;Amex;Débito;POS;133,59;0,75%;9,18;03/03/2026;123,41
22/02/2026;Matriz;Visa;Débito;TEF;381,71;0,75%;10,29;02/02/2026;368,56
21/02/2026;Filial 1;Visa;PIX;TEF;748,40;0,30%;2,87;23/01/2026;743,28
26/01/2026;Filial 1;Elo;Crédito;POS;926,30;2,00%;8,18;09/02/2026;899,59
09/01/2026;Filial 1;Elo;PIX;POS;118,64;0,30%;11,77;01/02/2026;106,51
07/01/2026;Matriz;Mastercard;PIX;Online;333,62;0,30%;15,12;03/01/2026;317,50
30/01/2026;Matriz;Visa;PIX;TEF;871,81;0,30%;3,34;02/03/2026;865,85
12/01/2026;Filial 1;Amex;Débito;Online;568,63;0,75%;4,25;04/02/2026;560,12
15/01/2026;Filial 1;Visa;PIX;POS;131,60;0,30%;10,07;16/01/2026;121,14
23/02/2026;Filial 1;Amex;PIX;Online;841,49;0,30%;5,65;02/03/2026;833,32
04/01/2026;Matriz;Amex;Débito;POS;461,38;0,75%;5,09;07/02/2026;452,83
05/01/2026;Matriz;Visa;PIX;Online;783,13;0,30%;1,78;30/01/2026;779,00
15/01/2026;Matriz;Elo;Débito;Online;36,13;0,75%;8,48;05/02/2026;27,38
22/02/2026;Filial 1;Amex;PIX;POS;265,68;0,30%;22,40;24/01/2026;242,48
17/01/2026;Matriz;Visa;Débito;TEF;657,62;0,75%;13,60;09/02/2026;639,09
24/01/2026;Filial 1;Visa;Voucher;POS;185,56;7,00%;7,23;07/02/2026;165,34
03/02/2026;Matriz;Elo;PIX;TEF;429,45;0,30%;7,32;07/01/2026;420,84
31/01/2026;Matriz;PIX;Crédito;Online;298,33;2,00%;12,63;10/02/2026;279,73
04/01/2026;Filial 1;Elo;Débito;TEF;392,21;0,75%;10,24;16/02/2026;379,03
03/01/2026;Filial 1;PIX;Voucher;Online;359,68;7,00%;7,74;06/01/2026;326,76
14/02/2026;Filial 1;Elo;Voucher;TEF;948,91;7,00%;8,89;17/02/2026;873,60
27/02/2026;Filial 1;Amex;Débito;Online;261,28;0,75%;5,40;23/02/2026;253,92
09/02/2026;Filial 1;Mastercard;Crédito;Online;940,12;2,00%;3,56;08/01/2026;917,76
22/01/2026;Filial 1;Amex;Débito;TEF;88,33;0,75%;7,44;23/02/2026;80,23
28/02/2026;Filial 1;Amex;Voucher;Online;246,65;7,00%;19,83;26/01/2026;209,55
11/01/2026;Matriz;Amex;Crédito;Online;857,85;2,00%;9,63;04/01/2026;831,06
03/01/2026;Filial 1;Mastercard;Voucher;Online;138,47;7,00%;0,42;04/03/2026;128,36
14/01/2026;Matriz;Amex;Crédito;Online;623,66;2,00%;5,06;17/01/2026;606,13
30/01/2026;Matriz;Visa;Voucher;Online;117,53;7,00%;9,58;13/02/2026;99,72
14/01/2026;Matriz;Elo;Débito;POS;999,17;0,75%;8,39;10/01/2026;983,29
21/01/2026;Filial 1;PIX;Débito;Online;992,26;0,75%;6,78;14/01/2026;978,04
24/01/2026;Filial 1;Mastercard;Débito;POS;901,55;0,75%;8,52;14/02/2026;886,27
28/01/2026;Filial 1;PIX;Voucher;Online;553,73;7,00%;1,71;08/02/2026;513,26
09/02/2026;Matriz;Elo;Voucher;TEF;776,15;7,00%;12,70;23/01/2026;709,12
23/01/2026;Matriz;PIX;PIX;Online;161,68;0,30%;5,97;22/01/2026;155,22
07/02/2026;Filial 1;Elo;PIX;POS;136,00;0,30%;2,96;27/01/2026;132,63
22/01/2026;Matriz;Visa;PIX;Online;688,67;0,30%;12,66;13/02/2026;673,94
21/01/2026;Filial 1;Visa;Crédito;TEF;224,96;2,00%;7,19;09/01/2026;213,27
20/02/2026;Matriz;Mastercard;Crédito;POS;56,33;2,00%;13,57;02/03/2026;41,63
13/01/2026;Filial 1;Mastercard;Voucher;Online;491,08;7,00%;2,46;08/01/2026;454,24
01/02/2026;Matriz;Visa;Voucher;Online;611,86;7,00%;9,92;01/02/2026;559,11
09/02/2026;Filial 1;Amex;Débito;TEF;299,46;0,75%;14,82;18/02/2026;282,39
19/02/2026;Matriz;PIX;Voucher;POS;16,90;7,00%;11,40;19/01/2026;4,32
01/02/2026;Matriz;Visa;Débito;TEF;653,65;0,75%;17,87;01/02/2026;630,88
13/01/2026;Matriz;Elo;Voucher;TEF;185,87;7,00%;10,93;14/02/2026;161,93
26/02/2026;Filial 1;Elo;Débito;TEF;116,89;0,75%;6,95;01/01/2026;109,06
28/02/2026;Matriz;Amex;Crédito;TEF;976,28;2,00%;14,73;25/02/2026;942,02
08/01/2026;Filial 1;Elo;Débito;Online;38,54;0,75%;2,33;01/03/2026;35,92
21/02/2026;Matriz;Elo;PIX;POS;406,52;0,30%;10,77;12/02/2026;394,53
06/02/2026;Filial 1;Amex;Voucher;Online;504,12;7,00%;7,10;06/01/2026;461,73
03/02/2026;Filial 1;Elo;Voucher;POS;127,86;7,00%;5,86;22/01/2026;113,05
09/02/2026;Filial 1;Mastercard;Débito;TEF;978,56;0,75%;1,64;20/01/2026;969,58
26/02/2026;Matriz;Visa;Crédito;TEF;817,43;2,00%;1,14;02/03/2026;799,94
21/02/2026;Matriz;Mastercard;Voucher;Online;820,30;7,00%;1,75;09/02/2026;761,13
21/02/2026;Filial 1;Visa;Débito;POS;40,72;0,75%;6,62;08/01/2026;33,79
10/01/2026;Filial 1;Amex;Débito;TEF;595,34;0,75%;17,20;16/02/2026;573,67
07/02/2026;Filial 1;Elo;Voucher;TEF;540,64;7,00%;22,34;08/01/2026;480,46
17/01/2026;Matriz;Amex;PIX;Online;98,23;0,30%;11,22;09/02/2026;86,72
04/02/2026;Filial 1;Amex;PIX;TEF;467,79;0,30%;5,40;20/02/2026;460,99
08/01/2026;Filial 1;Mastercard;PIX;POS;164,39;0,30%;5,08;01/01/2026;158,82
27/01/2026;Filial 1;Visa;Crédito;Online;125,65;2,00%;5,12;19/02/2026;118,02
13/01/2026;Filial 1;Visa;Débito;POS;581,29;0,75%;0,73;05/01/2026;576,20
07/02/2026;Matriz;Elo;PIX;TEF;575,85;0,30%;1,66;20/01/2026;572,46
26/01/2026;Filial 1;Visa;PIX;POS;956,32;0,30%;20,25;09/02/2026;933,20
03/02/2026;Filial 1;Elo;Débito;TEF;310,48;0,75%;12,31;15/01/2026;295,84
21/01/2026;Filial 1;Mastercard;Crédito;TEF;344,32;2,00%;6,62;30/01/2026;330,81
18/02/2026;Matriz;Mastercard;Voucher;Online;643,22;7,00%;5,97;23/02/2026;592,22
24/02/2026;Matriz;Amex;Crédito;TEF;748,95;2,00%;2,15;25/01/2026;731,82
29/01/2026;Matriz;Mastercard;Débito;POS;939,53;0,75%;2,93;10/01/2026;929,55
24/02/2026;Matriz;PIX;Crédito;POS;387,53;2,00%;19,40;28/02/2026;360,38
11/02/2026;Filial 1;Amex;Voucher;TEF;954,05;7,00%;10,07;16/02/2026;877,20
27/01/2026;Filial 1;Visa;Débito;TEF;20,14;0,75%;1,99;24/02/2026;18,00
23/01/2026;Matriz;PIX;Crédito;Online;874,94;2,00%;3,53;20/01/2026;853,91
23/01/2026;Filial 1;Visa;Voucher;Online;789,49;7,00%;3,61;05/01/2026;730,62
11/02/2026;Filial 1;Mastercard;Crédito;Online;186,09;2,00%;5,52;24/02/2026;176,85
21/01/2026;Filial 1;PIX;Voucher;TEF;948,61;7,00%;9,23;03/02/2026;872,98
23/01/2026;Filial 1;Mastercard;Crédito;TEF;640,14;2,00%;11,78;04/03/2026;615,56
01/01/2026;Matriz;PIX;Voucher;TEF;381,29;7,00%;10,32;16/02/2026;344,28
07/01/2026;Filial 1;Mastercard;Crédito;Online;992,47;2,00%;5,83;09/02/2026;966,79
26/02/2026;Filial 1;Elo;PIX;Online;121,15;0,30%;11,59;03/01/2026;109,20
22/02/2026;Matriz;Mastercard;PIX;TEF;876,34;0,30%;10,53;17/01/2026;863,18
21/02/2026;Filial 1;Mastercard;PIX;Online;417,14;0,30%;8,75;06/02/2026;407,14
08/02/2026;Filial 1;PIX;Voucher;POS;86,46;7,00%;18,26;24/01/2026;62,15
12/02/2026;Filial 1;Visa;PIX;POS;638,08;0,30%;1,24;21/01/2026;634,93
25/02/2026;Filial 1;Visa;PIX;TEF;185,82;0,30%;7,63;07/01/2026;177,63
21/01/2026;Filial 1;Visa;Crédito;POS;307,75;2,00%;2,13;27/02/2026;299,47
02/01/2026;Filial 1;Visa;Voucher;POS;672,51;7,00%;22,71;21/01/2026;602,72
12/02/2026;Matriz;Amex;Crédito;TEF;144,76;2,00%;3,80;22/01/2026;138,06
22/02/2026;Matriz;Elo;Voucher;Online;828,49;7,00%;3,73;28/02/2026;766,77
05/01/2026;Filial 1;PIX;Crédito;TEF;272,00;2,00%;6,51;07/01/2026;260,05
03/02/2026;Matriz;Mastercard;Débito;TEF;906,01;0,75%;7,43;04/01/2026;891,78
09/01/2026;Filial 1;Elo;Débito;Online;646,57;0,75%;10,98;27/02/2026;630,74
10/02/2026;Matriz;Amex;Voucher;TEF;331,43;7,00%;3,27;11/02/2026;304,96
08/01/2026;Filial 1;PIX;Débito;TEF;668,98;0,75%;8,23;01/03/2026;655,73
18/02/2026;Matriz;PIX;Crédito;TEF;999,14;2,00%;11,86;19/02/2026;967,30
13/01/2026;Filial 1;Visa;Débito;Online;156,40;0,75%;10,19;01/01/2026;145,04
10/02/2026;Matriz;Amex;Débito;Online;165,13;0,75%;3,08;05/02/2026;160,81
28/02/2026;Filial 1;Elo;Débito;POS;887,37;0,75%;3,75;23/01/2026;876,96
05/02/2026;Filial 1;Elo;Débito;Online;979,80;0,75%;20,15;22/02/2026;952,30
09/01/2026;Matriz;Visa;PIX;TEF;888,67;0,30%;9,38;09/02/2026;876,62
07/02/2026;Matriz;PIX;Voucher;Online;243,53;7,00%;7,75;05/03/2026;218,73
26/02/2026;Filial 1;Visa;Débito;POS;511,18;0,75%;15,20;01/02/2026;492,15
10/01/2026;Filial 1;Elo;PIX;Online;236,38;0,30%;8,83;28/01/2026;226,84
02/01/2026;Matriz;Mastercard;Crédito;TEF;911,06;2,00%;9,05;15/01/2026;883,79
20/02/2026;Matriz;Mastercard;Voucher;TEF;789,39;7,00%;10,55;10/01/2026;723,58
10/02/2026;Filial 1;Mastercard;Débito;Online;961,39;0,75%;3,31;23/02/2026;950,87
25/02/2026;Filial 1;PIX;Voucher;TEF;441,35;7,00%;5,78;05/03/2026;404,68
01/02/2026;Matriz;PIX;Débito;Online;126,20;0,75%;8,77;09/02/2026;116,48
05/01/2026;Filial 1;Elo;Débito;POS;101,20;0,75%;9,55;14/02/2026;90,89
02/02/2026;Matriz;Visa;PIX;Online;890,90;0,30%;8,92;04/03/2026;879,31
22/02/2026;Filial 1;PIX;Débito;Online;782,69;0,75%;11,30;10/02/2026;765,52
20/02/2026;Matriz;PIX;Débito;TEF;668,08;0,75%;7,55;24/02/2026;655,52
07/02/2026;Filial 1;Mastercard;Voucher;TEF;522,43;7,00%;1,04;07/02/2026;484,82
14/02/2026;Filial 1;PIX;Crédito;Online;16,21;2,00%;1,94;18/02/2026;13,95
10/02/2026;Matriz;Mastercard;Crédito;Online;223,63;2,00%;1,44;20/02/2026;217,72
22/02/2026;Matriz;Amex;PIX;Online;404,22;0,30%;8,14;05/03/2026;394,87
13/01/2026;Filial 1;Mastercard;Crédito;TEF;609,04;2,00%;7,96;04/03/2026;588,90
17/01/2026;Filial 1;PIX;Débito;TEF;542,70;0,75%;0,68;07/02/2026;537,95
23/02/2026;Filial 1;PIX;Débito;TEF;617,43;0,75%;11,42;13/01/2026;601,38
17/02/2026;Filial 1;Amex;PIX;TEF;893,71;0,30%;10,85;16/02/2026;880,18
04/01/2026;Filial 1;Mastercard;Voucher;TEF;687,04;7,00%;2,52;05/03/2026;636,43
09/02/2026;Matriz;PIX;Débito;POS;101,95;0,75%;5,38;04/02/2026;95,81
09/02/2026;Matriz;Visa;Débito;POS;285,85;0,75%;11,87;20/02/2026;271,84
15/01/2026;Matriz;PIX;Débito;Online;642,30;0,75%;2,83;17/02/2026;634,65
18/01/2026;Matriz;Elo;Voucher;TEF;517,00;7,00%;0,33;21/02/2026;480,48
27/02/2026;Matriz;Mastercard;Voucher;TEF;218,99;7,00%;1,59;28/02/2026;202,07
06/01/2026;Matriz;Mastercard;PIX;POS;917,46;0,30%;18,45;02/02/2026;896,26
14/02/2026;Matriz;Mastercard;Crédito;POS;10,79;2,00%;2,34;08/02/2026;8,23
31/01/2026;Matriz;Visa;PIX;POS;829,21;0,30%;1,63;15/02/2026;825,09
22/01/2026;Matriz;Elo;PIX;POS;864,18;0,30%;6,30;06/01/2026;855,29
25/02/2026;Matriz;PIX;Crédito;TEF;573,78;2,00%;0,81;16/01/2026;561,49
09/01/2026;Filial 1;PIX;Voucher;Online;739,62;7,00%;23,17;29/01/2026;664,68
02/01/2026;Filial 1;Mastercard;PIX;TEF;418,92;0,30%;16,69;31/01/2026;400,97
04/01/2026;Filial 1;PIX;Voucher;Online;739,52;7,00%;14,34;05/02/2026;673,41
02/01/2026;Matriz;Visa;Crédito;Online;309,90;2,00%;7,71;02/02/2026;295,99
10/01/2026;Filial 1;Visa;PIX;TEF;143,13;0,30%;6,21;22/02/2026;136,49
10/02/2026;Filial 1;Amex;PIX;TEF;358,40;0,30%;15,30;16/02/2026;342,02
25/02/2026;Matriz;PIX;Crédito;POS;361,89;2,00%;5,14;14/02/2026;349,51
20/01/2026;Filial 1;Amex;Crédito;POS;548,47;2,00%;1,41;14/01/2026;536,09
08/01/2026;Filial 1;Elo;PIX;TEF;179,65;0,30%;11,46;12/01/2026;167,65
07/01/2026;Filial 1;Elo;Voucher;Online;559,10;7,00%;2,69;20/01/2026;517,27
06/02/2026;Matriz;Elo;Débito;TEF;826,21;0,75%;1,00;31/01/2026;819,01
08/01/2026;Filial 1;Visa;Débito;Online;925,03;0,75%;10,52;19/01/2026;907,57
02/01/2026;Filial 1;PIX;Crédito;POS;569,01;2,00%;3,96;28/01/2026;553,67
18/02/2026;Matriz;Amex;Crédito;TEF;404,73;2,00%;7,98;31/01/2026;388,66
01/01/2026;Matriz;Visa;Crédito;POS;409,85;2,00%;4,60;05/03/2026;397,05
22/01/2026;Filial 1;Elo;Crédito;TEF;296,07;2,00%;10,19;25/02/2026;279,96
01/01/2026;Matriz;Amex;Crédito;POS;118,16;2,00%;2,41;04/01/2026;113,39
12/01/2026;Filial 1;Elo;PIX;POS;423,93;0,30%;2,42;01/03/2026;420,24
27/02/2026;Matriz;Elo;Crédito;POS;55,94;2,00%;1,96;22/02/2026;52,86
28/01/2026;Matriz;Mastercard;Voucher;Online;180,40;7,00%;5,21;19/01/2026;162,56
17/01/2026;Filial 1;Amex;PIX;POS;356,27;0,30%;8,74;09/01/2026;346,46
13/02/2026;Matriz;Elo;Crédito;Online;428,62;2,00%;9,13;21/01/2026;410,92
29/01/2026;Matriz;PIX;Voucher;POS;616,93;7,00%;8,04;25/01/2026;565,70
09/01/2026;Filial 1;Amex;Crédito;POS;538,61;2,00%;3,50;04/02/2026;524,34
25/02/2026;Matriz;Amex;Crédito;POS;365,27;2,00%;3,61;01/02/2026;354,35
19/02/2026;Filial 1;Amex;Voucher;TEF;222,96;7,00%;2,88;11/01/2026;204,47
10/01/2026;Matriz;Elo;Crédito;POS;631,77;2,00%;11,36;16/02/2026;607,77
20/01/2026;Matriz;Visa;Crédito;Online;885,27;2,00%;1,70;13/01/2026;865,86
21/02/2026;Filial 1;PIX;Débito;POS;228,54;0,75%;4,75;25/01/2026;222,08
18/01/2026;Matriz;PIX;Débito;POS;206,17;0,75%;4,95;24/01/2026;199,67
26/02/2026;Matriz;Visa;PIX;POS;189,62;0,30%;21,42;20/02/2026;167,63
14/01/2026;Filial 1;Elo;PIX;TEF;103,44;0,30%;5,03;01/02/2026;98,10
23/02/2026;Filial 1;Elo;Voucher;POS;740,19;7,00%;1,05;09/01/2026;687,33
25/02/2026;Filial 1;Mastercard;Débito;TEF;651,21;0,75%;11,06;02/02/2026;635,27
04/01/2026;Matriz;Amex;Débito;Online;930,35;0,75%;10,44;02/01/2026;912,93
13/01/2026;Filial 1;Amex;Voucher;TEF;231,30;7,00%;20,27;11/01/2026;194,84
02/01/2026;Filial 1;Elo;Débito;Online;890,02;0,75%;1,19;13/02/2026;882,15
27/02/2026;Matriz;PIX;Voucher;TEF;240,91;7,00%;4,41;04/03/2026;219,64
18/01/2026;Matriz;PIX;PIX;TEF;87,29;0,30%;6,37;19/02/2026;80,66
10/02/2026;Matriz;Visa;PIX;Online;546,32;0,30%;1,18;07/01/2026;543,50
26/02/2026;Filial 1;Elo;Débito;POS;684,62;0,75%;11,11;26/02/2026;668,38
26/02/2026;Filial 1;Mastercard;PIX;POS;542,34;0,30%;1,10;13/02/2026;539,61
10/01/2026;Filial 1;Elo;Débito;Online;761,01;0,75%;0,96;07/01/2026;754,34
22/02/2026;Matriz;Elo;Voucher;TEF;653,57;7,00%;0,74;24/02/2026;607,08
06/02/2026;Filial 1;Visa;PIX;TEF;233,27;0,30%;20,13;02/02/2026;212,44
19/02/2026;Matriz;Amex;Voucher;Online;830,07;7,00%;7,09;05/02/2026;764,88
03/02/2026;Matriz;Elo;Débito;Online;343,23;0,75%;7,38;23/01/2026;333,28
08/02/2026;Matriz;Mastercard;Crédito;POS;150,56;2,00%;9,79;19/01/2026;137,76
12/02/2026;Filial 1;Mastercard;PIX;POS;178,16;0,30%;3,20;31/01/2026;174,43
16/02/2026;Filial 1;Amex;Voucher;TEF;189,43;7,00%;4,66;03/03/2026;171,51
26/01/2026;Filial 1;Amex;Débito;TEF;899,24;0,75%;8,24;17/01/2026;884,26
26/02/2026;Matriz;Amex;Crédito;Online;653,02;2,00%;2,72;23/01/2026;637,24
10/02/2026;Filial 1;Visa;Voucher;TEF;22,56;7,00%;10,26;22/02/2026;10,72
11/01/2026;Matriz;Visa;PIX;TEF;260,92;0,30%;15,59;24/01/2026;244,55
22/02/2026;Filial 1;Elo;Crédito;TEF;483,16;2,00%;7,26;01/03/2026;466,24
02/01/2026;Matriz;PIX;Crédito;TEF;362,51;2,00%;9,56;22/01/2026;345,70
13/02/2026;Matriz;Elo;Débito;TEF;296,87;0,75%;15,75;23/02/2026;278,89
10/01/2026;Filial 1;PIX;Débito;POS;537,86;0,75%;2,41;04/01/2026;531,42
25/01/2026;Matriz;PIX;Crédito;Online;494,97;2,00%;2,95;15/01/2026;482,12
01/02/2026;Matriz;Amex;PIX;Online;149,25;0,30%;19,68;16/01/2026;129,12
23/01/2026;Matriz;Mastercard;Voucher;TEF;222,23;7,00%;8,20;27/02/2026;198,47
22/01/2026;Matriz;Mastercard;Débito;TEF;780,68;0,75%;2,20;10/01/2026;772,62
05/02/2026;Matriz;Mastercard;Débito;Online;330,28;0,75%;8,82;21/01/2026;318,98
30/01/2026;Matriz;Mastercard;PIX;TEF;450,76;0,30%;9,47;09/01/2026;439,94
13/02/2026;Matriz;Elo;Débito;POS;23,31;0,75%;11,60;19/02/2026;11,54
23/02/2026;Filial 1;Mastercard;Voucher;POS;582,16;7,00%;11,38;06/02/2026;530,03
14/02/2026;Filial 1;Amex;PIX;POS;163,54;0,30%;6,18;27/02/2026;156,87
22/01/2026;Filial 1;Visa;Débito;POS;729,90;0,75%;1,92;01/01/2026;722,51
27/02/2026;Filial 1;Amex;Voucher;Online;967,41;7,00%;6,79;28/02/2026;892,90
26/02/2026;Matriz;Elo;Voucher;Online;540,22;7,00%;2,48;18/01/2026;499,92
20/02/2026;Matriz;Amex;Voucher;POS;713,46;7,00%;2,02;14/02/2026;661,50
07/02/2026;Filial 1;PIX;Voucher;POS;974,04;7,00%;10,65;25/02/2026;895,21
19/02/2026;Matriz;Elo;Débito;Online;24,17;0,75%;11,94;28/02/2026;12,05
26/01/2026;Matriz;Elo;PIX;TEF;496,28;0,30%;5,66;24/02/2026;489,13
16/02/2026;Filial 1;Amex;Voucher;Online;994,60;7,00%;1,91;09/01/2026;923,07
01/02/2026;Filial 1;Mastercard;PIX;TEF;220,27;0,30%;5,79;25/02/2026;213,82
18/02/2026;Matriz;Elo;Débito;Online;741,89;0,75%;5,46;03/02/2026;730,87
26/02/2026;Matriz;PIX;Crédito;TEF;450,10;2,00%;9,38;25/01/2026;431,72
01/02/2026;Matriz;Mastercard;Débito;TEF;872,63;0,75%;5,97;03/03/2026;860,12
18/02/2026;Filial 1;Mastercard;Voucher;TEF;260,58;7,00%;14,08;05/02/2026;228,26
23/01/2026;Matriz;Elo;PIX;POS;598,83;0,30%;1,98;03/01/2026;595,05
18/01/2026;Filial 1;PIX;Crédito;POS;454,22;2,00%;6,98;18/01/2026;438,16
18/02/2026;Matriz;PIX;PIX;TEF;851,94;0,30%;11,45;03/02/2026;837,93
12/01/2026;Matriz;PIX;Voucher;Online;54,83;7,00%;7,74;07/02/2026;43,25
